Inactive,Street
Yes,0.778 E/O MADERA
Yes,0.780 NE/O SSR 168
Yes,0.780 S/O HARLAN
Yes,0.780 W/O NAPA
Yes,0.783 E/O DE WOLF (SELMA C.L.)
Yes,0.790 E/O CHESTNUT
Yes,0.800 N/O MANNING
Yes,0.800 SW/O SSR 33-198
Yes,0.812 S/O LINCOLN (CLAYTON ALIGN.)
Yes,0.813 S/O LINCOLN (FOWLER C.L.)
Yes,0.823 N/O SSR 168
Yes,0.833 E/O CHESTNUT ALIGN
Yes,0.850 W/O ELM
Yes,0.850 W/O FRESNO SLOUGH (C-554)
Yes,0.850 W/O FRESNO SLOUGH(C-554)
Yes,0.851 W/O JERROLD
Yes,0.860 N/O SSR 180
Yes,0.860 S/O CENTRAL
Yes,0.871 E/O HIGHLAND
Yes,0.880 S/O SOUTH
Yes,0.880 SW/O ANNADALE
Yes,0.880 W/O SAN MATEO
Yes,0.900 E/O OHIO (MENDOTA C.L.)
Yes,0.920 NE/O WILDERNESS DR
Yes,0.929 S/O JEFFERSON
Yes,0.930 SE/O DUNLAP RD
Yes,0.940 E/O ENNIS
Yes,0.940 N/O WISH I AH
Yes,0.950 N/O WILLOW
Yes,0.950 W/O CORNELIA (SOUTH)
Yes,0.950 W/O EL DORADO
Yes,0.961 N/O SSR 168
Yes,0.980 W/O SONOMA
Yes,1.00 W/O OHIO (SAN BERNARDINO ALIGN
Yes,1.000 N/O BELMONT
Yes,1.000 N/O SSR 180
Yes,1.000 NE/O FRIANT-KERN CANAL
Yes,1.000 S/O ZAPATO CHINO CREEK (C-427
Yes,1.000 SE/O SSR 180
Yes,1.000 SE/O WIEMILLER
Yes,1.000 SW/O SSR 33-198
Yes,1.000 W/O CALAVERAS
Yes,1.000 W/O GRANTLAND
Yes,1.000 W/O JAMESON
Yes,1.000 W/O OHIO ALIGN
Yes,1.000 W/O OHIO(SAN BERNARDINO ALIGN
Yes,1.020 S/O JAYNE
Yes,1.020 S/O RUTH HILL ROAD
Yes,1.027 W/O EL DORADO
Yes,1.040 W/O CALIF AQUEDUCT
Yes,1.050 N/E PWR HOUSE NO 1
Yes,1.050 N/O TOLL HOUSE RD
Yes,1.060 N/O MERRILL
Yes,1.060 SW/O I-5
Yes,1.062 NW/O TRIMMER SPRINGS
Yes,1.079 S/O SSR 245
Yes,1.090 NE/O GOULD CANAL
Yes,1.100 N/O WELLBARN
Yes,1.100 NE/O SSR 168
Yes,1.100 S/O SSR 145
Yes,1.120 E/O ENNIS
Yes,1.120 S/O ELKHORN
Yes,1.120 W/O SSR 269
